代號,名稱,年/月,  現金及約當現金,  應收帳款及票據,  其他應收款,  不動產廠房及設備,  商譽及無形資產合計,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  應付帳款及票據,  其他應付款,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,  股本,  資本公積合計,  保留盈餘,  其他權益,  庫藏股票帳面值,股東權益總額,負債及股東權益總額
2880,華南金,Dec-22,"57,466,418","8,052,711","47,020,578","32,718,699","968,134","2,021,323","12,627,100","3,985,125","3,630,161,728","7,455,302","37,923,753",0,"86,584,626","1,856,000","2,075,114","23,891,682","3,445,334,622","136,427,459",0,0,0,"136,427,459","17,758,986","48,876,041","-18,237,555",0,"184,827,106","3,630,161,728"
2881,富邦金,Dec-22,"316,596,903","25,488,097","243,228,598","65,272,146","34,192,088","9,974,378","305,826,478","56,193,707","10,587,756,710","19,777,031","171,470,259",0,"257,381,535","13,696,500","21,792,236","4,710,169,640","10,014,147,503","123,952,126","15,999,900",0,0,"139,952,026","171,017,736","481,144,311","-226,423,522",0,"573,609,207","10,587,756,710"
2882,國泰金,Dec-22,"412,013,900","108,925,321","217,153,186","108,550,891","51,636,617","4,833,197","448,140,598","100,135,437","12,070,885,583","15,064,455","73,787,470",0,"132,147,398","12,763,713","19,240,853","6,842,132,184","11,459,177,548","146,692,102","15,333,000",0,0,"162,025,102","215,318,047","454,847,472","-233,350,281",0,"611,708,035","12,070,885,583"
2883,開發金,Dec-22,"132,489,379","27,630,796","111,420,657","33,670,962","18,342,534","12,623,300","58,626,748","86,863,239","3,537,148,350","42,895,079","90,722,635",0,"91,643,007","23,675,664","4,603,517","2,094,580,716","3,328,362,974","168,453,886","15,821,424",0,0,"184,275,310","33,626,805","64,590,198","-73,829,040",0,"208,785,376","3,537,148,350"
2884,玉山金,Dec-22,"76,217,644","4,373,001","125,988,674","34,708,732","6,109,490","7,143,707","1,830,028","13,746,203","3,479,560,474","4,034,769","37,486,918",0,"43,850,000","3,500,491","4,303,812","1,114,461","3,282,469,520","142,751,000",0,0,0,"142,751,000","26,070,164","33,472,219","-5,367,107",0,"197,090,954","3,479,560,474"
2885,元大金,Dec-22,"76,338,164","32,145,357","202,341,992","25,503,491","30,959,908","11,515,532","10,487,451","59,043,456","3,016,118,537","107,890,168","154,026,563",0,"102,487,542","48,460,199","4,712,163","363,676,625","2,738,735,629","125,015,590",0,0,0,"125,015,590","38,010,564","100,310,163","-6,968,170",0,"277,382,908","3,016,118,537"
2886,兆豐金,Dec-22,"88,545,616","27,661,341","86,258,656","21,779,506","1,318,844","1,903,487","1,542,390","5,994,391","4,060,987,347","14,182,273","73,475,048",0,"20,000,000","17,348,000","1,956,726","33,053,040","3,761,177,894","139,398,196",0,0,0,"139,398,196","68,194,233","107,542,620","-15,325,596",0,"299,809,453","4,060,987,347"
2887,台新金,Dec-22,"31,549,218","76,900,485","153,714,625","26,025,852","3,530,907","2,282,006","3,811,280","16,965,759","2,764,804,547","12,638,659","30,774,802",0,"68,020,216","12,265,346","2,360,330","224,439,809","2,561,910,735","119,741,476","11,000,000",0,0,"130,741,476","38,197,778","41,221,894","-7,293,518",0,"202,893,812","2,764,804,547"
2888,新光金,Dec-22,"99,630,609","23,586,578","72,658,678","40,024,404","3,547,115","4,660,954","184,130,015","48,927,221","4,850,699,248","14,209,693","38,681,338",0,"58,000,000","3,324,591","11,605,381","3,294,706,402","4,638,569,546","154,876,182","2,970,000",0,0,"157,846,182","18,276,795","93,494,307","-57,896,223",0,"212,129,702","4,850,699,248"
2889,國票金,Dec-22,"3,739,279","7,286,049","25,000,980","7,260,430","259,646","147,693","265,260","4,455,761","358,338,860","6,904,871","13,918,848",0,0,0,"145,693","1,742,267","316,174,186","34,473,840",0,0,0,"34,473,840","234,079","4,440,872","-2,463,088",0,"42,164,674","358,338,860"
2890,永豐金,Dec-22,"66,231,664","11,228,049","90,209,758","13,287,583","2,310,197","3,646,832","2,390,819","30,775,495","2,588,763,257","20,250,570","50,521,956","18,437","71,242,261","6,345,638","3,132,839","3,099,728","2,434,744,520","113,837,646",0,0,0,"113,837,646","2,228,781","52,152,522","-14,200,212",0,"154,018,737","2,588,763,257"
2891,中信金,Dec-22,"133,810,551","112,631,759","223,214,005","49,024,168","39,264,903","17,433,219","101,486,456","46,884,577","7,720,493,113","10,747,567","102,380,066",0,"134,418,666",0,"16,988,265","1,866,524,163","7,327,670,855","195,840,746","4,999,900",0,0,"200,840,646","59,458,927","183,405,067","-74,208,394",0,"392,822,258","7,720,493,113"
2892,第一金,Dec-22,"72,208,162","3,984,797","48,686,706","27,698,974","1,102,917","2,470,597","12,110,510","5,333,630","4,157,195,982","24,456,692","52,503,677",0,"61,850,000","7,600,000","2,322,609","69,762,393","3,933,073,412","132,234,423",0,0,0,"132,234,423","26,107,218","61,151,006","4,629,923",0,"224,122,570","4,157,195,982"
5880,合庫金,Dec-22,"95,314,702","7,242,254","42,404,919","33,147,407","4,156,026","1,562,617","10,936,255","2,897,887","4,476,167,813","6,768,668","52,099,763",0,"80,290,000","9,352,346","1,538,102","32,268,462","4,255,404,636","140,089,354",0,0,0,"140,089,354","57,977,016","38,890,125","-21,509,719",0,"220,763,177","4,476,167,813"
